Trajectory,Region,Time,x0,x1
1.0,1.0,0.0,0.011459279192219361,0.29264008120177554
1.0,1.0,0.02002002002002002,0.09604851500904603,0.3291050465324056
1.0,1.0,0.04004004004004004,0.17896111180480556,0.36484724160527393
1.0,1.0,0.06006006006006006,0.2602303021554646,0.3998809924125564
1.0,1.0,0.08008008008008008,0.3398886599363644,0.43422034099191337
1.0,1.0,0.10010010010010009,0.41796811338505835,0.4678790510576544
1.0,1.0,0.12012012012012012,0.49449995788985973,0.5008706135136616
1.0,1.0,0.14014014014014015,0.569514868528614,0.5332082518586382
1.0,1.0,0.16016016016016016,0.6430429123428015,0.564904927477264
1.0,1.0,0.18018018018018017,0.7151135604954281,0.5678099592075068
1.0,1.0,0.20020020020020018,0.785755699908656,0.5676597667060463
1.0,1.0,0.22022022022022023,0.8549976450307873,0.5675125511626007
1.0,1.0,0.24024024024024024,0.9228671489894762,0.5673682535711474
1.0,1.0,0.2602602602602603,0.989391414886837,0.5672268160950752
1.0,1.0,0.2802802802802803,1.0545971066723017,0.5670881820440673
1.0,1.0,0.3003003003003003,1.1185103596495902,0.5669522958517623
1.0,1.0,0.3203203203203203,1.1811567912454093,0.5668191030528593
1.0,1.0,0.34034034034034033,1.2425615110770039,0.5666885502617124
1.0,1.0,0.36036036036036034,1.3027491309551253,0.5665605851510641
1.0,1.0,0.38038038038038036,1.3617437750939836,0.5664351564303376
1.0,1.0,0.40040040040040037,1.4195690892893749,0.5663122138261231
1.0,1.0,0.42042042042042044,1.4762482508265464,0.5661917080611129
1.0,1.0,0.44044044044044045,1.531803977566001,0.5660735908347836
1.0,1.0,0.46046046046046046,1.5862585369473081,0.5659578148042537
1.0,1.0,0.4804804804804805,1.6396337553142426,0.5658443335644565
1.0,1.0,0.5005005005005005,1.6919510260431496,0.5657331016308595
1.0,1.0,0.5205205205205206,1.7432313188544801,0.5656240744196662
1.0,1.0,0.5405405405405406,1.7934951874646756,0.5655172082315475
1.0,1.0,0.5605605605605606,1.8427627784978386,0.5654124602326949
1.0,1.0,0.5805805805805806,1.8910538390414038,0.5653097884387563
1.0,1.0,0.6006006006006006,1.9383877248837151,0.5652091516973219
1.0,1.0,0.6206206206206206,1.9847834081605946,0.565110509671667
1.0,1.0,0.6406406406406406,2.0302594848705082,0.5650138228247735
1.0,1.0,0.6606606606606606,2.0748341825936887,0.5649190524029192
1.0,1.0,0.6806806806806807,2.1185253673844335,0.5648261604210227
1.0,1.0,0.7007007007007007,2.1613505514648974,0.5647351096462873
1.0,1.0,0.7207207207207207,2.203326899618751,0.5646458635846054
1.0,1.0,0.7407407407407407,2.2444712367653343,0.5645583864644572
1.0,1.0,0.7607607607607607,2.284800053961833,0.5644726432241478
1.0,1.0,0.7807807807807807,2.3243295157818022,0.5643885994961202
1.0,1.0,0.8008008008008007,2.3630754660181106,0.5643062215948308
1.0,1.0,0.8208208208208209,2.401053434796002,0.5642254765016256
1.0,1.0,0.8408408408408409,2.438278644071659,0.5641463318530497
1.0,1.0,0.8608608608608609,2.4747660143965757,0.5640687559264664
1.0,1.0,0.8808808808808809,2.5105301703282796,0.5639927176285522
1.0,1.0,0.9009009009009009,2.545585446733406,0.5639181864818965
1.0,1.0,0.9209209209209209,2.579945894258658,0.5638451326133701
1.0,1.0,0.9409409409409409,2.613625285031042,0.5637735267420051
1.0,1.0,0.960960960960961,2.6466371183525736,0.5637033401668881
1.0,1.0,0.980980980980981,2.6789946256661845,0.5636345447566015
1.0,1.0,1.001001001001001,2.7107107765822542,0.563567112936411
1.0,1.0,1.021021021021021,2.7417982830961756,0.5635010176792985
1.0,1.0,1.0410410410410411,2.772269605861812,0.5634362324926239
1.0,1.0,1.0610610610610611,2.802136957893955,0.5633727314102533
1.0,1.0,1.0810810810810811,2.8314123107791995,0.5633104889793545
1.0,1.0,1.1011011011011012,2.860107398240194,0.5632494802528184
1.0,1.0,1.1211211211211212,2.888233721867269,0.5631896807770731
1.0,1.0,1.1411411411411412,2.9158025550379447,0.563131066583751
1.0,1.0,1.1611611611611612,2.9428249476712423,0.5630736141795805
1.0,1.0,1.1811811811811812,2.969311730946332,0.5630173005363532
1.0,1.0,1.2012012012012012,2.995273520842447,0.5629621030833983
1.0,1.0,1.2212212212212212,3.020720723573247,0.5629079996960284
1.0,1.0,1.2412412412412412,3.0456635384113167,0.5628549686895342
1.0,1.0,1.2612612612612613,3.070111963059775,0.5628029888077637
1.0,1.0,1.2812812812812813,3.0940757966832324,0.5627520392166784
1.0,1.0,1.3013013013013013,3.117564644283972,0.5627020994950493
1.0,1.0,1.3213213213213213,3.140587920764832,0.5626531496258184
1.0,1.0,1.3413413413413413,3.163154853846478,0.562605169989896
1.0,1.0,1.3613613613613613,3.1852744890411997,0.5625581413555868
1.0,1.0,1.3813813813813813,3.2069556919369036,0.562512044873733
1.0,1.0,1.4014014014014013,3.2282071528028355,0.5624668620679224
1.0,1.0,1.4214214214214214,3.2490373896238123,0.5624225748280378
1.0,1.0,1.4414414414414414,3.269454751194289,0.5623791654036777
1.0,1.0,1.4614614614614614,3.2894674214427573,0.5623366163949629
1.0,1.0,1.4814814814814814,3.309083421411219,0.5622949107483279
